R,E_last
0.8,-108.65992757499862
0.9,-109.05739989728555
1.0,-109.22680487552255
1.1,-109.27648224670968
1.2,-109.26394633983114
1.4,-109.17327114775887
1.6,-109.07979643433092
1.8,-109.01407946561031
2.1,-108.9700270101902
