nit,E,H_dim
1,-108.99128024396312,51529
2,-109.2509178684269,17313921
3,-109.26494549578312,31798321
4,-109.26960812866344,46730896
5,-109.27185259391857,60637369
6,-109.27391742857046,75533481
7,-109.27482448622405,87871876
8,-109.27572004049263,97970404
9,-109.27593964859403,108638929
10,-109.27611080574995,119180889
11,-109.276251788705,129163225
12,-109.27638611566746,135163876
13,-109.27648224670968,143976001
