nit,E,subspace
1,-105.98335214374376,784
2,-108.77433882346698,18576100
3,-108.93158534352727,29724304
4,-108.94868287050025,43850884
5,-108.9584970621717,60000516
6,-108.96124341803109,75690000
7,-108.96238653423173,90326016
8,-108.96353891591451,103999204
9,-108.9646652758172,120582361
10,-108.96592622039486,132779529
11,-108.9666678241895,144624676
12,-108.9684224929068,157502500
13,-108.9689950403921,168532324
14,-108.96951655282837,179801281
