nit,E,subspace_dim
1,-103.1309768141589,196
2,-109.11535278193095,18344089
3,-109.25319609815014,25260676
4,-109.26786020950323,38229489
5,-109.27106367254103,51825601
6,-109.27239529703743,62932489
7,-109.27332627275322,73856836
8,-109.27437485195308,83521321
9,-109.27463631610536,93334921
10,-109.27495101927772,101445184
11,-109.27524094027501,110565225
12,-109.27543656915697,117700801
13,-109.27559911504562,124634896
14,-109.27573051107824,130484929
