nit,E,subspace_dim
1,-108.43861293947116,16900
2,-108.8970042887625,14303524
3,-108.93809216254516,26440164
4,-108.95068700728226,40615129
5,-108.95518101936759,55175184
6,-108.96017708767889,69622336
7,-108.9624001975977,83375161
8,-108.96425878035326,96864964
9,-108.9650817887215,110607289
10,-108.96612188870165,122168809
11,-108.96698169933869,135024400
12,-108.96757007520043,147185424
13,-108.96811205662874,158961664
14,-108.9690270101902,170824900
