iter,nfev,E
 227,  599,-108.630483433199
 228,  601,-108.631585162586
 229,  603,-108.631502828263
 230,  605,-108.631788166124
 231,  607,-108.631333593411
 232,  609,-108.630537592108
 233,  611,-108.631864737538
 234,  613,-108.631850796372
 235,  615,-108.632712408606
 236,  617,-108.632869322143
 237,  619,-108.631156356307
 238,  621,-108.632461555885
 239,  623,-108.631935554295
 240,  625,-108.631983593297
 241,  627,-108.631198293544
 242,  629,-108.631550529765
 243,  631,-108.630579125622
 244,  633,-108.631165278928
 245,  635,-108.631238161863
 246,  637,-108.631416247069
 247,  639,-108.632600902499
 248,  641,-108.632463606649
 249,  643,-108.630887817365
 250,  645,-108.632125852590
 251,  647,-108.631750973215
 252,  649,-108.632534684946
 253,  651,-108.631249959125
 254,  653,-108.630779373507
 255,  655,-108.632553174237
 256,  657,-108.632741282389
 257,  659,-108.633162219425
 258,  661,-108.632523501257
 259,  663,-108.633310662885
 260,  665,-108.633673023181
 261,  667,-108.633656264755
 262,  669,-108.633413890060
 263,  671,-108.633749698345
 264,  673,-108.633704674434
 265,  675,-108.633275853310
 266,  677,-108.633686225084
 267,  679,-108.632759709506
 268,  681,-108.634435813859
 269,  683,-108.634258442789
 270,  685,-108.634100663265
 271,  687,-108.633892356929
 272,  689,-108.634035080163
 273,  691,-108.633679323004
 274,  693,-108.633836434332
 275,  695,-108.634335152410
 276,  697,-108.634070670530
 277,  699,-108.633380217486
 278,  701,-108.634369130034
 279,  703,-108.634519911489
 280,  705,-108.634416906830
 281,  707,-108.634613914531
 282,  709,-108.634336630219
 283,  711,-108.634451734964
 284,  713,-108.634485917273
 285,  715,-108.634164163933
 286,  717,-108.634253573404
 287,  719,-108.634517050903
 288,  721,-108.634155461459
 289,  723,-108.634341698067
 290,  725,-108.634547891079
 291,  727,-108.633453666764
 292,  729,-108.633806026867
 293,  731,-108.633745301341
 294,  733,-108.634758847157
 295,  735,-108.634733072236
 296,  737,-108.634572809698
 297,  739,-108.634872754897
 298,  741,-108.634743177415
 299,  743,-108.634701310353
 300,  745,-108.634680385202
 301,  747,-108.633080492379
 302,  749,-108.634418207329
 303,  751,-108.634853811094
 304,  753,-108.634067021281
 305,  755,-108.634757222311
 306,  757,-108.634740767049
 307,  759,-108.631983375065
 308,  761,-108.634762024443
 309,  763,-108.634571596384
 310,  765,-108.634493771385
 311,  767,-108.634268250968
 312,  769,-108.634392457826
 313,  771,-108.635179106189
 314,  773,-108.635174463437
 315,  775,-108.635104316615
 316,  777,-108.635056407628
 317,  779,-108.634970007374
 318,  781,-108.635062496585
 319,  783,-108.633881649334
 320,  785,-108.635086015069
 321,  787,-108.635064088571
 322,  789,-108.634420740917
 323,  791,-108.635122994022
 324,  793,-108.635266759581
 325,  795,-108.635055150100
 326,  797,-108.635290564220
 327,  799,-108.633536018916
 328,  801,-108.635227943112
 329,  803,-108.635291578685
 330,  805,-108.634766936020
 331,  807,-108.635385013418
 332,  809,-108.634696842091
 333,  811,-108.635603798234
 334,  813,-108.634540547384
 335,  815,-108.636021527270
 336,  817,-108.633379176448
 337,  819,-108.635973273380
 338,  821,-108.635456128325
 339,  823,-108.634112070275
 340,  825,-108.634567042687
 341,  827,-108.635315580939
 342,  829,-108.635595253003
 343,  831,-108.635942466668
 344,  833,-108.635588589531
 345,  835,-108.636074323461
 346,  837,-108.635630366436
 347,  839,-108.636537129993
 348,  841,-108.636507159805
 349,  843,-108.636807389573
 350,  845,-108.636929166434
 351,  847,-108.635812753355
 352,  848,-108.637250069494
 353,  850,-108.635372512860
 354,  852,-108.635816183019
 355,  854,-108.635519626154
 356,  856,-108.635735036392
 357,  858,-108.636586537588
 358,  860,-108.635574062049
 359,  862,-108.635002469232
 360,  864,-108.636294269352
 361,  866,-108.636610601311
 362,  868,-108.636769547037
 363,  870,-108.636655044351
 364,  872,-108.636627783929
 365,  874,-108.636761279662
 366,  876,-108.634773216492
 367,  878,-108.635125848337
 368,  880,-108.637185128186
 369,  882,-108.636739835839
 370,  884,-108.635753690550
 371,  886,-108.636593961030
 372,  888,-108.636805230487
 373,  890,-108.637190518966
 374,  892,-108.636831347268
 375,  894,-108.636825882170
 376,  896,-108.635869077217
 377,  898,-108.636696289134
 378,  900,-108.637140793351
 379,  902,-108.635863669931
 380,  904,-108.636358271030
 381,  906,-108.636750115692
 382,  908,-108.636735621463
 383,  910,-108.637288552191
 384,  912,-108.636972668812
 385,  914,-108.637165104809
 386,  916,-108.636795181918
 387,  918,-108.636966465033
 388,  920,-108.637237069682
 389,  922,-108.636775841833
 390,  924,-108.637453147261
 391,  926,-108.636414457973
 392,  928,-108.637185329613
 393,  930,-108.636794357556
 394,  932,-108.637755717867
 395,  934,-108.637343173998
 396,  936,-108.637321600327
 397,  938,-108.637570426722
 398,  940,-108.635666310277
 399,  942,-108.635732423045
 400,  944,-108.638020916119
 401,  946,-108.636282890018
 402,  948,-108.637494053723
 403,  950,-108.637316742932
 404,  952,-108.637798455293
 405,  954,-108.638082121208
 406,  956,-108.637567253713
 407,  958,-108.637789296344
 408,  960,-108.638121928433
 409,  962,-108.637455498429
 410,  964,-108.637449970302
 411,  966,-108.637508125089
 412,  968,-108.636749140936
 413,  970,-108.636802605862
 414,  972,-108.637850559519
 415,  974,-108.637639896230
 416,  976,-108.637767178501
 417,  978,-108.636759400782
 418,  980,-108.637987452712
 419,  982,-108.637987797670
 420,  984,-108.637212778026
 421,  986,-108.637765360819
 422,  988,-108.637193782440
 423,  990,-108.638117340549
 424,  992,-108.637841797375
 425,  994,-108.638055970305
 426,  996,-108.637923684193
 427,  998,-108.637871134618
 428, 1000,-108.638171896397
 429, 1002,-108.637274950596
 430, 1004,-108.637825714688
 431, 1006,-108.638267124239
 432, 1008,-108.637984628816
 433, 1010,-108.638108300660
 434, 1012,-108.638560035461
 435, 1014,-108.638500820560
 436, 1016,-108.638157798158
 437, 1018,-108.638340337497
 438, 1020,-108.638323594714
 439, 1022,-108.638570842187
 440, 1024,-108.637841407689
 441, 1026,-108.637530396846
 442, 1028,-108.637597842132
 443, 1030,-108.638561376090
 444, 1032,-108.637798956736
 445, 1034,-108.637052819619
 446, 1036,-108.637886170049
 447, 1038,-108.638680065508
 448, 1040,-108.637919363431
 449, 1042,-108.635510086485
 450, 1044,-108.637296589821
 451, 1046,-108.637742702989
 452, 1048,-108.638083718423
 453, 1050,-108.637803190508
 454, 1052,-108.637946076079
 455, 1054,-108.638167258969
 456, 1056,-108.637329885718
 457, 1058,-108.637441672137
 458, 1060,-108.638548577416
 459, 1062,-108.638734104400
 460, 1064,-108.638240153789
 461, 1065,-108.634579719223
 462, 1067,-108.638728094095
 463, 1069,-108.638797032751
 464, 1070,-108.638832812373
 465, 1071,-108.638930190291
 466, 1073,-108.638893668733
 467, 1075,-108.638899394856
 468, 1077,-108.638968591476
 469, 1079,-108.638805850693
 470, 1080,-108.639190225973
 471, 1082,-108.639228262239
 472, 1083,-108.639361093985
 473, 1085,-108.639397345708
 474, 1086,-108.639472807684
 475, 1087,-108.639516486682
 476, 1088,-108.639702838889
 477, 1090,-108.639722514305
 478, 1092,-108.639818813825
 479, 1093,-108.639983491675
 480, 1094,-108.640289611470
 481, 1096,-108.640400673715
 482, 1098,-108.640437476195
 483, 1099,-108.640657276801
 484, 1100,-108.640820990615
 485, 1102,-108.640738006835
 486, 1103,-108.640840566286
 487, 1105,-108.640820355410
 488, 1107,-108.640858531229
 489, 1109,-108.640810836622
 490, 1111,-108.640856705169
 491, 1112,-108.640878370724
 492, 1114,-108.640837449576
 493, 1116,-108.640953006330
 494, 1117,-108.640957939943
 495, 1118,-108.641157612660
 496, 1120,-108.641123757688
 497, 1121,-108.641228171849
 498, 1123,-108.641147465410
 499, 1124,-108.641324811679
 500, 1125,-108.641408143405
 501, 1127,-108.641356781204
 502, 1128,-108.641456473121
 503, 1129,-108.641506063928
 504, 1130,-108.641513372143
 505, 1131,-108.641570396138
 506, 1133,-108.641625384590
 507, 1135,-108.641619507218
 508, 1137,-108.641567396670
 509, 1139,-108.641628872413
 510, 1141,-108.641611464944
 511, 1143,-108.641584787407
 512, 1144,-108.641683196740
 513, 1145,-108.641746250525
 514, 1147,-108.641692667435
 515, 1149,-108.641749357469
 516, 1151,-108.641710431593
 517, 1153,-108.641756604514
 518, 1154,-108.641916243406
 519, 1156,-108.641881439914
 520, 1157,-108.641960812771
 521, 1158,-108.642119479509
 522, 1159,-108.642184015880
 523, 1160,-108.642208522156
 524, 1161,-108.642233112709
 525, 1163,-108.642160145324
 526, 1165,-108.642246522662
 527, 1166,-108.642274547598
 528, 1168,-108.642309285824
 529, 1170,-108.642301064366
 530, 1172,-108.642286761315
 531, 1174,-108.642284933148
 532, 1176,-108.642296698003
 533, 1178,-108.642332124989
 534, 1180,-108.642307499277
 535, 1181,-108.642336254564
 536, 1183,-108.642349310679
 537, 1185,-108.642370497463
 538, 1187,-108.642351785616
 539, 1189,-108.642350926657
 540, 1190,-108.642374892437
 541, 1192,-108.642364151966
 542, 1194,-108.642412376655
 543, 1195,-108.642436382281
 544, 1196,-108.642475536070
 545, 1197,-108.642490352921
 546, 1198,-108.642622553490
 547, 1200,-108.642624571231
 548, 1202,-108.642635751250
 549, 1203,-108.642660131402
 550, 1205,-108.642640314941
 551, 1206,-108.642712808054
 552, 1208,-108.642696222772
 553, 1210,-108.642695894889
 554, 1212,-108.642693332435
 555, 1214,-108.642709224473
 556, 1216,-108.642705310834
 557, 1218,-108.642678982730
 558, 1220,-108.642729039670
 559, 1221,-108.642750872620
 560, 1222,-108.642765588731
 561, 1224,-108.642766037961
 562, 1226,-108.642761162919
 563, 1227,-108.642816408278
 564, 1229,-108.642816264421
 565, 1231,-108.642802117875
 566, 1233,-108.642810046664
 567, 1235,-108.642835471634
 568, 1237,-108.642812999339
 569, 1239,-108.642840006770
 570, 1241,-108.642836476992
 571, 1243,-108.642834835332
 572, 1245,-108.642858399209
 573, 1246,-108.642911985623
 574, 1248,-108.642927699650
 575, 1250,-108.642911828972
 576, 1251,-108.642991375258
 577, 1253,-108.642955742955
 578, 1255,-108.642958680345
 579, 1256,-108.642993026158
 580, 1258,-108.643005742268
 581, 1260,-108.643009182349
 582, 1262,-108.643063898186
 583, 1264,-108.643094244188
 584, 1265,-108.643199568228
 585, 1266,-108.643206231110
 586, 1268,-108.643204230937
 587, 1270,-108.643171832031
 588, 1271,-108.643240003530
 589, 1273,-108.643227064865
 590, 1275,-108.643214493836
 591, 1277,-108.643218134427
 592, 1279,-108.643215340669
 593, 1280,-108.643254269027
 594, 1282,-108.643226423497
 595, 1283,-108.643287678432
 596, 1285,-108.643281051843
 597, 1286,-108.643310170441
 598, 1288,-108.643287530880
 599, 1290,-108.643274423612
 600, 1291,-108.643324678918
 601, 1293,-108.643303993379
 602, 1295,-108.643274859718
 603, 1297,-108.643276349609
 604, 1299,-108.643309853471
 605, 1300,-108.643330934487
 606, 1301,-108.643419580184
 607, 1303,-108.643379918530
 608, 1305,-108.643402239440
 609, 1306,-108.643528309441
 610, 1308,-108.643473365749
 611, 1310,-108.643518251933
 612, 1312,-108.643552251576
 613, 1314,-108.643537751644
 614, 1316,-108.643477153629
 615, 1318,-108.643540446406
 616, 1319,-108.643563377254
 617, 1320,-108.643657489549
 618, 1322,-108.643644508604
 619, 1324,-108.643627971671
 620, 1325,-108.643709775420
 621, 1327,-108.643721092756
 622, 1329,-108.643723568825
 623, 1331,-108.643713870644
 624, 1333,-108.643748609326
 625, 1335,-108.643666143907
 626, 1337,-108.643753793217
 627, 1339,-108.643687193079
 628, 1341,-108.643734966841
 629, 1343,-108.643637423199
 630, 1344,-108.643813083279
 631, 1346,-108.643822616137
 632, 1347,-108.643830391790
 633, 1349,-108.643863950389
 634, 1351,-108.643860176416
 635, 1352,-108.643897778486
 636, 1354,-108.643895597457
 637, 1356,-108.643896377624
 638, 1357,-108.643930214948
 639, 1359,-108.643926496761
 640, 1360,-108.644001857946
 641, 1362,-108.644003726728
 642, 1363,-108.644005736783
 643, 1365,-108.643983750668
