iteration,nfev,energy
0,3,-108.57955326296776
1,6,-108.57962757382079
2,9,-108.57978210905065
3,12,-108.58028933318604
4,15,-108.58028340730777
5,18,-108.5802148484583
6,21,-108.58074267066476
7,24,-108.58044447689223
8,27,-108.58106555661644
9,30,-108.5811144776075
10,33,-108.58137106886194
11,36,-108.58145990024624
12,39,-108.58142276586284
13,42,-108.58212850790507
14,45,-108.58225008830533
15,48,-108.58267674441544
16,51,-108.58431650899708
17,54,-108.58680097508157
18,57,-108.58680650046695
19,60,-108.5867881402587
20,63,-108.58696430285916
21,66,-108.58720367928244
22,69,-108.58738169314593
23,72,-108.58735793395606
24,75,-108.58902664283895
25,78,-108.59097625693155
26,81,-108.59136267162842
27,84,-108.59134619019261
28,87,-108.59136318470382
29,90,-108.59160351676356
30,93,-108.59163967115009
31,96,-108.59167299389503
32,99,-108.59196679817533
33,102,-108.5949980702244
34,105,-108.59506106386823
35,108,-108.59490787624783
36,111,-108.59552581578892
37,114,-108.59581210843217
38,117,-108.59639599637194
39,120,-108.59643402637678
40,123,-108.5966200787691
41,126,-108.59671492566868
42,129,-108.59671815931613
43,132,-108.59689366973238
44,135,-108.596939258839
45,138,-108.59709307838355
46,141,-108.59710381662894
47,144,-108.59696693361288
48,147,-108.59764299647915
49,150,-108.59758695768106
50,153,-108.59797964760762
51,156,-108.59867687050944
52,159,-108.5994283625886
53,162,-108.59987027863339
54,165,-108.60003630061182
55,168,-108.60001664382152
56,171,-108.60036441421282
57,174,-108.60038420159539
58,177,-108.60041485112457
59,180,-108.60040865116048
60,183,-108.60074086744758
61,186,-108.6007473604404
62,189,-108.60105855760392
63,192,-108.60106516049883
64,195,-108.60107582824351
65,198,-108.60115512618233
66,201,-108.60139233989038
67,204,-108.60238812315346
68,207,-108.6024046393576
69,210,-108.60262777431637
70,213,-108.60261107315263
71,216,-108.6026464038519
72,219,-108.60290704115343
73,222,-108.60288203440561
74,225,-108.6030662460611
75,228,-108.60305255685151
76,231,-108.60344249428623
77,234,-108.60360575733357
78,237,-108.60371212925128
79,240,-108.6040287007585
80,243,-108.60401463340492
81,246,-108.60411254537966
82,249,-108.60415654064435
83,252,-108.60419195945
84,255,-108.60463249397753
85,258,-108.60495928693565
86,261,-108.6050680344577
87,264,-108.6053990445586
88,267,-108.60541895943865
89,270,-108.60543329946351
90,273,-108.60544190685843
91,276,-108.60613030562368
92,279,-108.60641959673542
93,282,-108.60643560169358
94,285,-108.60644332386718
95,288,-108.60654750281384
96,291,-108.60654834640846
97,294,-108.60654506983622
98,297,-108.6072030671191
99,300,-108.60718275020439
100,303,-108.60735102680144
101,306,-108.60739994815916
102,309,-108.60789423281233
103,312,-108.6078911179488
104,315,-108.60795711078286
105,318,-108.60808546593942
106,321,-108.60865537145477
107,324,-108.60884431561466
108,327,-108.60900430524833
109,330,-108.60964713394195
110,333,-108.60969480086679
111,336,-108.60967887575876
112,339,-108.60985601930456
113,342,-108.60986483818613
114,345,-108.60986516656956
115,348,-108.60997902529593
116,351,-108.60997571750163
117,354,-108.6099849184163
118,357,-108.61018812510115
119,360,-108.61028254228603
120,363,-108.61035873929247
121,366,-108.61045836654304
122,369,-108.61046422317656
123,372,-108.61045440229472
124,375,-108.61047235341802
125,378,-108.61062534399667
126,381,-108.61068320118935
127,384,-108.61072341516288
128,387,-108.61096328570186
129,390,-108.61094757888281
130,393,-108.61112614730106
131,396,-108.61132605542954
132,399,-108.61144977732971
133,402,-108.61144224960688
134,405,-108.61144345376225
135,408,-108.6114839704814
136,411,-108.61147820344982
137,414,-108.61149393104947
138,417,-108.61150043808962
139,420,-108.61176085199473
140,423,-108.61200883509231
141,426,-108.6120144507438
142,429,-108.6121224157406
143,432,-108.61213348794806
144,435,-108.61231389775335
145,438,-108.61232239044831
146,441,-108.6123392670059
147,444,-108.6125387839525
148,447,-108.61273818911168
149,450,-108.61277451228118
150,453,-108.6131547317175
151,456,-108.61348178024105
152,459,-108.61351259372032
153,462,-108.6136371848936
154,465,-108.61366160422511
155,468,-108.61365422500688
156,471,-108.61366969908158
157,474,-108.61367141740381
158,477,-108.61367057368047
159,480,-108.61415690689564
160,483,-108.61440189936594
161,486,-108.61440934778558
162,489,-108.61479432150172
163,492,-108.61488064482481
164,495,-108.61490004922986
165,498,-108.61537119685627
166,501,-108.61547955226577
167,504,-108.61549694969362
168,507,-108.6154918957905
169,510,-108.61549489512105
170,513,-108.61552539160611
171,516,-108.61552686400366
172,519,-108.6160833822373
173,522,-108.61671094055538
174,525,-108.61673031355068
175,528,-108.61686238294058
176,531,-108.61799308881777
177,534,-108.61803930916365
178,537,-108.6181038340107
179,540,-108.61810813121838
180,543,-108.6181194863117
181,546,-108.61823003292575
182,549,-108.61830161022701
183,552,-108.61859257496825
184,555,-108.61865715176363
185,558,-108.6186933607372
186,561,-108.61873653259971
187,564,-108.61891217835012
188,567,-108.6190653695311
189,570,-108.61910500355941
190,573,-108.61913401926626
191,576,-108.61969316622567
192,579,-108.6196909461833
193,582,-108.61979183543917
194,585,-108.61983113895384
195,588,-108.61999033273845
196,591,-108.61999034619824
197,594,-108.61998504753521
198,597,-108.61999679261628
199,600,-108.62001356722139
200,603,-108.62002234266643
201,606,-108.62002230213024
202,609,-108.6200954143178
203,612,-108.62009655150351
204,615,-108.62012020398565
205,618,-108.62009602116771
206,621,-108.62012393244696
207,624,-108.62020368266634
208,627,-108.62030555164654
209,630,-108.62044336334786
210,633,-108.62048301706866
211,636,-108.6204843644829
212,639,-108.62051138798941
213,642,-108.62053403616486
214,645,-108.62051882510222
215,648,-108.62081976695572
216,651,-108.6208451176062
217,654,-108.62088204456698
218,657,-108.62089749138485
219,660,-108.62107913692621
220,663,-108.62145679282717
221,666,-108.62147837933095
222,669,-108.62149713364359
223,672,-108.62151847292887
224,675,-108.6215205933681
225,678,-108.62152306349316
226,681,-108.62164474896026
227,684,-108.62170295890596
228,687,-108.62211802577143
229,690,-108.62228485185042
230,693,-108.6223074880687
231,696,-108.62246607675414
232,699,-108.62249242909385
233,702,-108.62249795382579
234,705,-108.62258876274674
235,708,-108.6225883632494
236,711,-108.62259981637403
237,714,-108.62260090873178
238,717,-108.62289259015267
239,720,-108.62290888514971
240,723,-108.62297200405247
241,726,-108.62301575563033
242,729,-108.62303391960617
243,732,-108.62307220980136
244,735,-108.62308059145687
245,738,-108.62308995975093
246,741,-108.62320328320448
247,744,-108.62329684212325
248,747,-108.6234514607559
249,750,-108.62348481675926
250,753,-108.62373635886246
251,756,-108.62393653611976
252,759,-108.62422538886956
253,762,-108.62423046166748
254,765,-108.62424239341433
255,768,-108.62424210390026
256,771,-108.62424286556681
257,774,-108.62425430139898
258,777,-108.62427661858597
259,780,-108.62428601963761
260,783,-108.62435982514087
261,786,-108.62439282970313
262,789,-108.62464533288211
263,792,-108.62475483569752
264,795,-108.62475354733277
265,798,-108.62489592737025
266,801,-108.62489490504976
267,804,-108.62492570914645
268,807,-108.62495515267052
269,810,-108.62509814709384
270,813,-108.62509924072131
271,816,-108.62515039684044
272,819,-108.62515249649911
273,822,-108.6252499675883
274,825,-108.6252861128412
275,828,-108.62538690124322
276,831,-108.62539092458509
277,834,-108.62540122410756
278,837,-108.62540215558893
279,840,-108.62540283987147
280,843,-108.6254256370249
281,846,-108.62542680159872
282,849,-108.62542548088004
283,852,-108.6254255493412
284,855,-108.62543353596372
285,858,-108.62543515618566
286,861,-108.62543658139022
287,864,-108.62543311139632
288,867,-108.62543298226556
289,870,-108.62544720348755
290,873,-108.62554662207666
291,876,-108.62554604393827
292,879,-108.62557263438327
293,882,-108.62558601474377
294,885,-108.62569187287855
295,888,-108.62573202587757
296,891,-108.6257812175215
297,894,-108.62579574436343
298,897,-108.62580055387077
299,900,-108.62580140334386
300,903,-108.62580175746734
301,906,-108.62581778995734
302,909,-108.625825895598
303,912,-108.62583020881637
304,915,-108.62594307119957
305,918,-108.62619246649851
306,921,-108.6261921731069
307,924,-108.6261886787766
308,927,-108.62624676361268
309,930,-108.62633275880616
310,933,-108.62634334751853
311,936,-108.62634213242528
312,939,-108.62634249323325
313,942,-108.62634425063172
314,945,-108.6263707849051
315,948,-108.62637702056739
316,951,-108.62638739341932
317,954,-108.62658609773207
318,957,-108.62665034238495
319,960,-108.62665222460133
320,963,-108.62667355180766
321,966,-108.62687673511321
322,969,-108.62689171846898
323,972,-108.62694867003175
324,975,-108.62698574397209
325,978,-108.62699412710785
326,981,-108.6269940738333
327,984,-108.62704297588452
328,987,-108.6270793333485
329,990,-108.62708329547073
330,993,-108.62711476505788
331,996,-108.62717402056806
332,999,-108.62717560608924
333,1002,-108.62719561545426
334,1005,-108.62722247278073
335,1008,-108.62725395105079
336,1011,-108.6272630223486
337,1014,-108.62726294605879
338,1017,-108.627282658011
339,1020,-108.62753480936826
340,1023,-108.62753583168363
341,1026,-108.62754000479875
342,1029,-108.62759247319538
343,1032,-108.62761548252492
344,1035,-108.62761749389581
345,1038,-108.62763458063964
346,1041,-108.62763299954462
347,1044,-108.62772374075251
348,1047,-108.62772596592237
349,1050,-108.62773103642894
350,1053,-108.6277315494427
351,1056,-108.62773161331454
352,1059,-108.62774238850953
353,1062,-108.62774545417861
354,1065,-108.62774621323439
355,1068,-108.62788704409466
356,1071,-108.62793744182692
357,1074,-108.62793455372369
358,1077,-108.62793367467398
359,1080,-108.62793360690075
360,1083,-108.62797914809055
361,1086,-108.62804495338446
362,1089,-108.62804119655573
363,1092,-108.6280616567381
364,1095,-108.6280731235312
365,1098,-108.62812954749695
366,1101,-108.62828397540136
367,1104,-108.62831840544874
368,1107,-108.62832139412015
369,1110,-108.62832153937812
370,1113,-108.62832233466777
371,1116,-108.62837967902584
372,1119,-108.628383133194
373,1122,-108.62840295005859
374,1125,-108.62843179355527
375,1128,-108.62843405408874
376,1131,-108.62843532532777
377,1134,-108.62843496690394
378,1137,-108.62843631992612
379,1140,-108.62845463215945
380,1143,-108.62846756266944
381,1146,-108.62846683115377
382,1149,-108.62847402576314
383,1152,-108.62847562735479
384,1155,-108.62859817044051
385,1158,-108.62860225691811
386,1161,-108.62862408573275
387,1164,-108.6286229524729
388,1167,-108.62863503788228
389,1170,-108.62863486896143
390,1173,-108.62863510926039
391,1176,-108.62863612528473
392,1179,-108.628633722916
393,1182,-108.6286859688899
394,1185,-108.62870864916506
395,1188,-108.6287466822604
396,1191,-108.62885542465474
397,1194,-108.62885797769314
398,1197,-108.62885806740707
399,1200,-108.62890036890518
400,1203,-108.62896329361064
401,1206,-108.62906798970612
402,1209,-108.62913150482632
