iteration,nfev,energy
0,3,-108.58022301280826
1,6,-108.58021878166319
2,9,-108.58018330064955
3,12,-108.58020946791844
4,15,-108.58023292904511
5,18,-108.58078075028868
6,21,-108.58083491696176
7,24,-108.5818800183596
8,27,-108.58232772943612
9,30,-108.58230989920123
10,33,-108.5829302148784
11,36,-108.58341895948332
12,39,-108.5839096113603
13,42,-108.58404151573521
14,45,-108.58419982381105
15,48,-108.58417814150975
16,51,-108.58418001026335
17,54,-108.58411287756154
18,57,-108.58605756682718
19,60,-108.58661408810224
20,63,-108.58678874333023
21,66,-108.58680189194612
22,69,-108.58679270228173
23,72,-108.58867821747084
24,75,-108.58889769510928
25,78,-108.5916808028001
26,81,-108.59163853886996
27,84,-108.59223213796936
28,87,-108.59225857637767
29,90,-108.59246507467736
30,93,-108.59261896802204
31,96,-108.59277699702366
32,99,-108.59306063411982
33,102,-108.59305279439263
34,105,-108.59306691592774
35,108,-108.59307849107871
36,111,-108.594162706067
37,114,-108.59410852478474
38,117,-108.59501047647812
39,120,-108.59514565504581
40,123,-108.59535613299977
41,126,-108.59569842306703
42,129,-108.59635096611927
43,132,-108.59695062768583
44,135,-108.59699433923336
45,138,-108.59699568312732
46,141,-108.59743838420982
47,144,-108.59743891131741
48,147,-108.59785634010937
49,150,-108.59803788385045
50,153,-108.59810308285627
51,156,-108.59896507078781
52,159,-108.59904191287661
53,162,-108.59896181141241
54,165,-108.59897364412208
55,168,-108.59896688724722
56,171,-108.5993038598378
57,174,-108.59969886902269
58,177,-108.59979732275416
59,180,-108.59986859604403
60,183,-108.60134549856988
61,186,-108.60124215911696
62,189,-108.60147496363795
63,192,-108.60150598322011
64,195,-108.60143071324659
65,198,-108.60139279069709
66,201,-108.60136344935543
67,204,-108.60217145731355
68,207,-108.60221449691097
69,210,-108.6022448416085
70,213,-108.60229832727451
71,216,-108.6027524606686
72,219,-108.6027401666066
73,222,-108.60302019548615
74,225,-108.60300589598087
75,228,-108.60309497602304
76,231,-108.60345696859788
77,234,-108.60406195779584
78,237,-108.60406612388297
79,240,-108.60453894157871
80,243,-108.60465046968767
81,246,-108.60522964866773
82,249,-108.60554497269271
83,252,-108.60658250278064
84,255,-108.60688087786502
85,258,-108.60699326413489
86,261,-108.60700618701895
87,264,-108.60760870690073
88,267,-108.60764234298219
89,270,-108.60776244510494
90,273,-108.60781302384501
91,276,-108.60780768566843
92,279,-108.60780287040295
93,282,-108.6078885699028
94,285,-108.60788978752878
95,288,-108.60794113163605
96,291,-108.60796315498129
97,294,-108.6080132833827
98,297,-108.6083765220399
99,300,-108.6083791641793
100,303,-108.60840004490697
101,306,-108.60839408277677
102,309,-108.60842841091548
103,312,-108.6086626454639
104,315,-108.60864824722782
105,318,-108.6095636864918
106,321,-108.60956777013185
107,324,-108.60973608774944
108,327,-108.60980330989165
109,330,-108.60980775789481
110,333,-108.60988259446867
111,336,-108.60988358653475
112,339,-108.60988378115438
113,342,-108.60987972851632
114,345,-108.6099462991589
115,348,-108.61006503787615
116,351,-108.61027853191575
117,354,-108.61028918524238
118,357,-108.61045941559141
119,360,-108.61050556004834
120,363,-108.61053600288322
121,366,-108.61053601655223
122,369,-108.61119749878755
123,372,-108.6112688728333
124,375,-108.61138617274129
125,378,-108.61218986526329
126,381,-108.61277514553052
127,384,-108.61277410012842
128,387,-108.61280713993291
129,390,-108.6127705762425
130,393,-108.61283041129722
131,396,-108.61282464522567
132,399,-108.61284127120047
133,402,-108.61301322336365
134,405,-108.61337787660622
135,408,-108.61359169554507
136,411,-108.61359766648953
137,414,-108.61409951182209
138,417,-108.61406566839756
139,420,-108.61406880267754
140,423,-108.61457358318843
141,426,-108.61458765930843
142,429,-108.61462698888693
143,432,-108.61463986455125
144,435,-108.6148062600972
145,438,-108.61480957321024
146,441,-108.61481812725641
147,444,-108.61490088979069
148,447,-108.61580170402566
149,450,-108.61578435775812
150,453,-108.61580650959212
151,456,-108.61727456082139
152,459,-108.61733235954834
153,462,-108.61740045909653
154,465,-108.61757303560866
155,468,-108.61763365365069
156,471,-108.61794105777496
157,474,-108.61794942180428
158,477,-108.61838080702861
159,480,-108.61847373061813
160,483,-108.6186073477144
161,486,-108.61869538647588
162,489,-108.61874366898655
163,492,-108.61899436869918
164,495,-108.61928629984267
165,498,-108.61930935161632
166,501,-108.6198360649165
167,504,-108.61983456779215
168,507,-108.61994559314753
169,510,-108.61995872440663
170,513,-108.62013011059967
171,516,-108.62018178709081
172,519,-108.6201881926211
173,522,-108.62025729599605
174,525,-108.62024438881383
175,528,-108.62034469141219
176,531,-108.6204293245364
177,534,-108.62058284091052
178,537,-108.6205773036458
179,540,-108.62057766730675
180,543,-108.62057459614888
181,546,-108.62063745807444
182,549,-108.62133411480062
183,552,-108.62136712202611
184,555,-108.62161556079528
185,558,-108.62173131856478
186,561,-108.62177339202319
187,564,-108.62187199368701
188,567,-108.6218659585167
189,570,-108.6218936852714
190,573,-108.62209064375355
191,576,-108.62209889584854
192,579,-108.62210033635678
193,582,-108.62246445203799
194,585,-108.62285506873306
195,588,-108.62305971168513
196,591,-108.62310052770155
197,594,-108.62310825163256
198,597,-108.62317715679585
199,600,-108.62317642156039
200,603,-108.62323903600054
201,606,-108.62338835767747
202,609,-108.62351389636358
203,612,-108.6239353772685
204,615,-108.62438785569127
205,618,-108.62459323951917
206,621,-108.62478128259028
207,624,-108.62481570316018
208,627,-108.62481456688465
209,630,-108.62512817861742
210,633,-108.62516118199959
211,636,-108.62512565632618
212,639,-108.62515209402586
213,642,-108.62573982429797
214,645,-108.6257816605974
215,648,-108.62598676833318
216,651,-108.62614081233782
217,654,-108.62614107438972
218,657,-108.62615133612984
219,660,-108.62615164552116
220,663,-108.62620868486695
221,666,-108.62623073168527
222,669,-108.62641640714037
223,672,-108.62665221129267
224,675,-108.6266525410034
225,678,-108.62690209307172
226,681,-108.62715251409143
227,684,-108.62759801903559
228,687,-108.62760494151695
229,690,-108.62761589144213
230,693,-108.62759928711385
231,696,-108.62758875962786
232,699,-108.62758316842485
233,702,-108.62762939917292
234,705,-108.62763530929615
235,708,-108.62770231708117
236,711,-108.62776977439552
237,714,-108.62786300986804
238,717,-108.6279435458102
239,720,-108.62794490088152
240,723,-108.62809682388924
241,726,-108.62810217585223
242,729,-108.62814804893604
243,732,-108.62834244158817
244,735,-108.62839672842983
245,738,-108.62845011330013
246,741,-108.62845072121631
247,744,-108.62852692384497
248,747,-108.62895734383929
249,750,-108.62901755870423
250,753,-108.62916181665804
251,756,-108.62915613373353
252,759,-108.62917166214989
253,762,-108.62920246121246
254,765,-108.62922834180937
255,768,-108.62928846226202
256,771,-108.62939534269825
257,774,-108.62943437647252
258,777,-108.62943552965245
259,780,-108.62944380599208
260,783,-108.6294399225708
261,786,-108.629506847824
262,789,-108.62951397265874
263,792,-108.6296067197321
264,795,-108.62958733526654
265,798,-108.62973315678023
266,801,-108.62973302659252
267,804,-108.62975729424521
268,807,-108.62977807122398
269,810,-108.62980193680811
270,813,-108.62979967527036
271,816,-108.6298052128461
272,819,-108.62984142913385
273,822,-108.62982233101943
274,825,-108.62982031153967
275,828,-108.6298308989707
276,831,-108.62992638423455
277,834,-108.62995655187169
278,837,-108.62999220359892
279,840,-108.63002343765517
280,843,-108.63023531897369
281,846,-108.63023728329644
282,849,-108.63023470447777
283,852,-108.63028134499947
284,855,-108.6302812090559
285,858,-108.6302738263046
286,861,-108.63029144263079
287,864,-108.63031548139824
288,867,-108.63029635899878
289,870,-108.63030169193108
290,873,-108.63031176489383
291,876,-108.63031817571823
