R,iter,nfev,energy,error,method
1.100000,1,2539,-108.660499196778,0.041062545550,LM
1.100000,2,3825,-108.684794789914,0.016766952414,LM
1.100000,3,5084,-108.692881726025,0.008680016304,LM
1.100000,4,6355,-108.694790036817,0.006771705512,LM
1.100000,5,7614,-108.695775798793,0.005785943536,LM
1.100000,6,8873,-108.696533736996,0.005028005332,LM
1.100000,7,10141,-108.697218502020,0.004343240308,LM
1.100000,8,11409,-108.697790684459,0.003771057869,LM
1.100000,9,12659,-108.698246192964,0.003315549365,LM
1.100000,10,13927,-108.698611222011,0.002950520318,LM
1.100000,11,15177,-108.698903771876,0.002657970452,LM
1.100000,12,16439,-108.699154204524,0.002407537805,LM
1.100000,13,17701,-108.699398333572,0.002163408756,LM
1.100000,14,18963,-108.699632992676,0.001928749652,LM
1.100000,15,20222,-108.699837094925,0.001724647403,LM
1.100000,16,21487,-108.699975623708,0.001586118621,LM
1.100000,17,22740,-108.700069170231,0.001492572097,LM
1.100000,18,24005,-108.700139981839,0.001421760490,LM
1.100000,19,25264,-108.700208277805,0.001353464524,LM
1.100000,20,25283,-108.700270459958,0.001291282371,LM
1.100000,1,620,-108.590054721915,0.111507020413,COBYLA
1.100000,2,622,-108.591048844819,0.110512897509,COBYLA
1.100000,3,624,-108.591048844819,0.110512897509,COBYLA
1.100000,4,626,-108.591048844819,0.110512897509,COBYLA
1.100000,5,628,-108.591048844819,0.110512897509,COBYLA
1.100000,6,630,-108.591513564984,0.110048177345,COBYLA
1.100000,7,632,-108.591773508493,0.109788233835,COBYLA
1.100000,8,634,-108.591773508493,0.109788233835,COBYLA
1.100000,9,636,-108.591773508493,0.109788233835,COBYLA
1.100000,10,638,-108.591773508493,0.109788233835,COBYLA
1.100000,11,640,-108.591773508493,0.109788233835,COBYLA
1.100000,12,642,-108.591908983633,0.109652758696,COBYLA
1.100000,13,644,-108.591908983633,0.109652758696,COBYLA
1.100000,14,646,-108.591908983633,0.109652758696,COBYLA
1.100000,15,648,-108.592243444965,0.109318297364,COBYLA
1.100000,16,650,-108.592243444965,0.109318297364,COBYLA
1.100000,17,652,-108.592243444965,0.109318297364,COBYLA
1.100000,18,654,-108.592243444965,0.109318297364,COBYLA
1.100000,19,656,-108.593969167481,0.107592574848,COBYLA
1.100000,20,658,-108.593969167481,0.107592574848,COBYLA
1.100000,21,660,-108.593969167481,0.107592574848,COBYLA
1.100000,22,662,-108.593969167481,0.107592574848,COBYLA
1.100000,23,664,-108.595465815092,0.106095927236,COBYLA
1.100000,24,666,-108.595465815092,0.106095927236,COBYLA
1.100000,25,668,-108.595465815092,0.106095927236,COBYLA
