   0,  145,-108.579146130492
   1,  146,-108.578928359992
   2,  147,-108.579071911133
   3,  148,-108.578922027804
   4,  149,-108.579006816601
   5,  150,-108.578988768917
   6,  151,-108.579130852705
   7,  152,-108.578963336035
   8,  153,-108.578887386550
   9,  154,-108.578822509375
  10,  155,-108.578701316991
  11,  156,-108.578975941891
  12,  157,-108.579076944845
  13,  158,-108.578894885616
  14,  159,-108.579122462706
  15,  160,-108.579126578532
  16,  161,-108.579184372332
  17,  162,-108.579085513726
  18,  163,-108.578946148871
  19,  164,-108.578806007875
  20,  165,-108.579140301657
  21,  166,-108.579228339430
  22,  167,-108.579041143450
  23,  168,-108.578970779682
  24,  169,-108.579295498267
  25,  171,-108.579299862219
  26,  172,-108.579177529228
  27,  173,-108.579062067194
  28,  174,-108.579155710338
  29,  175,-108.579092969096
  30,  176,-108.579150386419
  31,  178,-108.579220348569
  32,  179,-108.579115722882
  33,  180,-108.579241013496
  34,  182,-108.578933982792
  35,  183,-108.579101449019
  36,  184,-108.578976560092
  37,  329,-108.579067015218
  38,  330,-108.579160890683
  39,  331,-108.579215671111
  40,  332,-108.579203726153
  41,  333,-108.579139004987
  42,  334,-108.579382745763
  43,  335,-108.579038313227
  44,  336,-108.579181299714
  45,  337,-108.579187085278
  46,  339,-108.579151775602
  47,  340,-108.579202993519
  48,  341,-108.579270667914
  49,  343,-108.579249527988
  50,  345,-108.579077409346
  51,  490,-108.579103906525
  52,  492,-108.579105181226
  53,  493,-108.579139187138
  54,  494,-108.579348059217
  55,  495,-108.579315402159
  56,  496,-108.579166128339
  57,  498,-108.579246123399
  58,  499,-108.579364094990
  59,  500,-108.579284311626
  60,  501,-108.579220187541
  61,  502,-108.579399535485
  62,  503,-108.579401175789
  63,  648,-108.579171602981
  64,  650,-108.579402444540
  65,  651,-108.579350379513
  66,  652,-108.579353141174
  67,  654,-108.579464207784
  68,  655,-108.579379008754
  69,  656,-108.579325907730
  70,  658,-108.579391306560
  71,  803,-108.579230961343
  72,  804,-108.579310877643
  73,  805,-108.579347673027
  74,  950,-108.579270002315
  75,  951,-108.579318255554
  76,  952,-108.579418730585
  77,  954,-108.579296747816
  78,  955,-108.579395178534
  79,  957,-108.579293646888
  80, 1102,-108.579263364789
  81, 1247,-108.579250181969
  82, 1392,-108.579177858376
  83, 1394,-108.579207008496
  84, 1396,-108.579335018752
  85, 1397,-108.579380328788
  86, 1398,-108.579404442629
  87, 1399,-108.579352531111
  88, 1544,-108.579253110535
  89, 1689,-108.579053305447
  90, 1834,-108.579053312948
  91, 1979,-108.579053262151
  92, 1980,-108.579055532413
  93, 1981,-108.579472667532
  94, 1983,-108.579162986864
  95, 1984,-108.579268594670
  96, 1985,-108.579254646359
  97, 1986,-108.579328280583
  98, 1987,-108.579740180408
  99, 1989,-108.579272337458
 100, 1990,-108.579309527980
 101, 2135,-108.579253811702
 102, 2136,-108.579369346900
 103, 2281,-108.579253910519
 104, 2283,-108.579753886135
 105, 2284,-108.579658906073
 106, 2285,-108.579336865056
 107, 2286,-108.579349952837
 108, 2287,-108.579391740276
 109, 2289,-108.579325829480
 110, 2291,-108.579594612260
 111, 2292,-108.579340166384
 112, 2294,-108.579640573793
 113, 2295,-108.579531333210
 114, 2296,-108.579680157798
