R,E
0.8000000000,-108.5082807509
0.9000000000,-108.9032192965
1.0000000000,-109.0605812377
1.1000000000,-109.1050202803
1.2000000000,-109.0943324269
1.3000000000,-109.0415367390
1.4000000000,-109.0018778625
1.5000000000,-108.9306282601
1.6000000000,-108.8854319977
1.7000000000,-108.8776870523
1.8000000000,-108.8353831940
1.9000000000,-108.8126583305
