R,E
0.7000000000,-107.6211454818
0.8000000000,-108.4291821725
0.9000000000,-108.8103284580
1.0000000000,-108.9630293630
1.1000000000,-108.9934042704
1.2000000000,-108.9612508904
1.3000000000,-108.8987631772
1.4000000000,-108.8255054562
1.5000000000,-108.7513548097
1.6000000000,-108.6816794062
1.7000000000,-108.6187138799
1.8000000000,-108.5650683229
1.9000000000,-108.5209662852
2.0000000000,-108.4864833656
2.1000000000,-108.4588107176
2.2000000000,-108.4369044383
2.3000000000,-108.4155518921
