R,E
0.40, -0.9186721399
0.45, -0.9995847912
0.50, -1.0538451297
0.55, -1.0897556224
0.60, -1.1127695882
0.65, -1.1265797023
0.70, -1.1337455575
0.75, -1.1360755137
0.80, -1.1348695349
0.85, -1.1310778787
0.90, -1.1254058388
0.95, -1.1183834974
1.00, -1.1104127472
1.05, -1.1017997011
1.10, -1.0927777414
1.15, -1.0835244268
1.20, -1.0741743296
1.25, -1.0648288845
1.30, -1.0555642303
1.35, -1.0464368573
1.40, -1.0374886692
1.45, -1.0287502254
1.50, -1.0202433241
1.55, -1.0119832665
1.60, -1.0039801146
1.65, -0.9962398670
1.70, -0.9887652564
1.75, -0.9815564558
1.80, -0.9746116381
1.85, -0.9679274756
1.90, -0.9614995843
1.95, -0.9553228476
2.00, -0.9493919813
2.05, -0.9437012473
2.10, -0.9382451283
2.15, -0.9330181585
2.20, -0.9280150081
2.25, -0.9232304720
2.30, -0.9186594291
2.35, -0.9142967860
2.40, -0.9101374142
2.45, -0.9061760896
2.50, -0.9024074461
