R,iter,nfev,energy,error,method
1.200000,89,171,-78.049071569678,0.002966307658,COBYLA
1.200000,90,172,-78.049101996493,0.002935880843,COBYLA
1.200000,91,173,-78.049187644320,0.002850233015,COBYLA
1.200000,92,174,-78.049222642342,0.002815234994,COBYLA
1.200000,93,175,-78.049280854432,0.002757022904,COBYLA
1.200000,94,176,-78.049384620484,0.002653256852,COBYLA
1.200000,95,178,-78.049384620484,0.002653256852,COBYLA
1.200000,96,179,-78.049431543590,0.002606333746,COBYLA
1.200000,97,180,-78.049471647276,0.002566230059,COBYLA
1.200000,98,182,-78.049472055634,0.002565821702,COBYLA
1.200000,99,183,-78.049478026017,0.002559851319,COBYLA
1.200000,100,184,-78.049478604554,0.002559272782,COBYLA
1.200000,101,186,-78.049498764726,0.002539112610,COBYLA
1.200000,102,187,-78.049524146906,0.002513730429,COBYLA
1.200000,103,189,-78.049575074643,0.002462802693,COBYLA
1.200000,104,191,-78.049576457111,0.002461420225,COBYLA
1.200000,105,192,-78.049611458945,0.002426418390,COBYLA
1.200000,106,193,-78.049641453382,0.002396423954,COBYLA
1.200000,107,194,-78.049775584283,0.002262293053,COBYLA
1.200000,108,196,-78.049799522539,0.002238354797,COBYLA
1.200000,109,197,-78.049801218292,0.002236659044,COBYLA
1.200000,110,199,-78.049801218292,0.002236659044,COBYLA
1.200000,111,200,-78.049869411657,0.002168465678,COBYLA
1.200000,112,201,-78.049872092071,0.002165785264,COBYLA
1.200000,113,203,-78.049920031230,0.002117846106,COBYLA
1.200000,114,204,-78.049925679162,0.002112198174,COBYLA
1.200000,115,206,-78.049974484447,0.002063392889,COBYLA
1.200000,116,208,-78.049974484447,0.002063392889,COBYLA
1.200000,117,209,-78.050026138817,0.002011738519,COBYLA
1.200000,118,210,-78.050060882250,0.001976995086,COBYLA
1.200000,119,211,-78.050094555275,0.001943322061,COBYLA
1.200000,120,212,-78.050112123978,0.001925753358,COBYLA
1.200000,121,214,-78.050156532974,0.001881344362,COBYLA
1.200000,122,215,-78.050194430486,0.001843446850,COBYLA
1.200000,123,216,-78.050209773842,0.001828103493,COBYLA
1.200000,124,218,-78.050209773842,0.001828103493,COBYLA
1.200000,125,220,-78.050232685750,0.001805191586,COBYLA
1.200000,126,222,-78.050232685750,0.001805191586,COBYLA
1.200000,127,224,-78.050261044431,0.001776832905,COBYLA
1.200000,128,226,-78.050261044431,0.001776832905,COBYLA
1.200000,129,227,-78.050313328495,0.001724548841,COBYLA
1.200000,130,228,-78.050335280310,0.001702597026,COBYLA
1.200000,131,229,-78.050408380850,0.001629496485,COBYLA
1.200000,132,231,-78.050408380850,0.001629496485,COBYLA
1.200000,133,233,-78.050408380850,0.001629496485,COBYLA
1.200000,134,234,-78.050447262439,0.001590614897,COBYLA
1.200000,135,235,-78.050501072219,0.001536805116,COBYLA
1.200000,136,236,-78.050527438994,0.001510438342,COBYLA
1.200000,137,237,-78.050564625284,0.001473252052,COBYLA
1.200000,138,239,-78.050575134113,0.001462743223,COBYLA
1.200000,139,240,-78.050674357946,0.001363519390,COBYLA
1.200000,140,241,-78.050711375663,0.001326501673,COBYLA
1.200000,141,242,-78.050715190847,0.001322686489,COBYLA
1.200000,142,244,-78.050715190847,0.001322686489,COBYLA
1.200000,143,245,-78.050772232157,0.001265645179,COBYLA
1.200000,144,246,-78.050833427193,0.001204450143,COBYLA
1.200000,145,247,-78.050871435552,0.001166441784,COBYLA
1.200000,146,249,-78.050871435552,0.001166441784,COBYLA
1.200000,147,251,-78.050876944965,0.001160932370,COBYLA
1.200000,148,252,-78.050908215177,0.001129662159,COBYLA
1.200000,149,254,-78.050908215177,0.001129662159,COBYLA
1.200000,150,256,-78.050914290923,0.001123586412,COBYLA
1.200000,151,257,-78.050931612209,0.001106265127,COBYLA
1.200000,152,258,-78.050976922637,0.001060954699,COBYLA
1.200000,153,260,-78.050987620670,0.001050256666,COBYLA
1.200000,154,262,-78.050987620670,0.001050256666,COBYLA
1.200000,155,263,-78.050994810176,0.001043067160,COBYLA
1.200000,156,265,-78.050994810176,0.001043067160,COBYLA
1.200000,157,266,-78.051004817723,0.001033059613,COBYLA
1.200000,158,268,-78.051004817723,0.001033059613,COBYLA
1.200000,159,269,-78.051025194433,0.001012682903,COBYLA
1.200000,160,271,-78.051025194433,0.001012682903,COBYLA
1.200000,161,272,-78.051056092488,0.000981784848,COBYLA
1.200000,162,274,-78.051056092488,0.000981784848,COBYLA
1.200000,163,275,-78.051070720062,0.000967157274,COBYLA
1.200000,164,277,-78.051094816933,0.000943060402,COBYLA
1.200000,165,278,-78.051140518796,0.000897358539,COBYLA
1.200000,166,279,-78.051150362012,0.000887515323,COBYLA
1.200000,167,280,-78.051163767888,0.000874109448,COBYLA
1.200000,168,282,-78.051164107859,0.000873769477,COBYLA
1.200000,169,284,-78.051166812715,0.000871064620,COBYLA
1.200000,170,286,-78.051166812715,0.000871064620,COBYLA
1.200000,171,288,-78.051166812715,0.000871064620,COBYLA
1.200000,172,290,-78.051176503665,0.000861373670,COBYLA
1.200000,173,291,-78.051177125430,0.000860751905,COBYLA
1.200000,174,293,-78.051194087558,0.000843789777,COBYLA
1.200000,175,295,-78.051194087558,0.000843789777,COBYLA
1.200000,176,297,-78.051194087558,0.000843789777,COBYLA
1.200000,177,298,-78.051235217224,0.000802660112,COBYLA
1.200000,178,299,-78.051247560155,0.000790317181,COBYLA
1.200000,179,301,-78.051247560155,0.000790317181,COBYLA
1.200000,180,303,-78.051266149921,0.000771727415,COBYLA
1.200000,181,305,-78.051266149921,0.000771727415,COBYLA
1.200000,182,306,-78.051276819872,0.000761057464,COBYLA
1.200000,183,307,-78.051303687053,0.000734190282,COBYLA
1.200000,184,309,-78.051303687053,0.000734190282,COBYLA
1.200000,185,310,-78.051331044239,0.000706833097,COBYLA
1.200000,186,311,-78.051355846939,0.000682030397,COBYLA
1.200000,187,313,-78.051363522590,0.000674354746,COBYLA
1.200000,188,314,-78.051366623827,0.000671253508,COBYLA
1.200000,189,316,-78.051367202628,0.000670674708,COBYLA
1.200000,190,318,-78.051371318140,0.000666559196,COBYLA
1.200000,191,319,-78.051395839135,0.000642038200,COBYLA
1.200000,192,320,-78.051404533839,0.000633343497,COBYLA
1.200000,193,321,-78.051407531550,0.000630345786,COBYLA
1.200000,194,323,-78.051407531550,0.000630345786,COBYLA
1.200000,195,324,-78.051437407100,0.000600470236,COBYLA
1.200000,196,326,-78.051437407100,0.000600470236,COBYLA
1.200000,197,327,-78.051454710049,0.000583167287,COBYLA
1.200000,198,328,-78.051465290573,0.000572586763,COBYLA
1.200000,199,330,-78.051465290573,0.000572586763,COBYLA
1.200000,200,331,-78.051469986226,0.000567891109,COBYLA
1.200000,201,332,-78.051471789800,0.000566087536,COBYLA
1.200000,202,333,-78.051518617158,0.000519260178,COBYLA
1.200000,203,335,-78.051518617158,0.000519260178,COBYLA
1.200000,204,337,-78.051518617158,0.000519260178,COBYLA
1.200000,205,339,-78.051518617158,0.000519260178,COBYLA
1.200000,206,340,-78.051552349280,0.000485528056,COBYLA
1.200000,207,342,-78.051552349280,0.000485528056,COBYLA
1.200000,208,344,-78.051552349280,0.000485528056,COBYLA
1.200000,209,346,-78.051555233683,0.000482643652,COBYLA
1.200000,210,348,-78.051570902711,0.000466974625,COBYLA
1.200000,211,350,-78.051570902711,0.000466974625,COBYLA
1.200000,212,352,-78.051579814880,0.000458062456,COBYLA
1.200000,213,354,-78.051579814880,0.000458062456,COBYLA
1.200000,214,356,-78.051587745339,0.000450131997,COBYLA
1.200000,215,358,-78.051592839948,0.000445037388,COBYLA
1.200000,216,359,-78.051634674775,0.000403202560,COBYLA
1.200000,217,361,-78.051634674775,0.000403202560,COBYLA
1.200000,218,363,-78.051634674775,0.000403202560,COBYLA
1.200000,219,365,-78.051634674775,0.000403202560,COBYLA
1.200000,220,366,-78.051641090923,0.000396786412,COBYLA
1.200000,221,367,-78.051655746297,0.000382131039,COBYLA
1.200000,222,369,-78.051656422050,0.000381455286,COBYLA
1.200000,223,371,-78.051660476045,0.000377401291,COBYLA
1.200000,224,372,-78.051668545044,0.000369332292,COBYLA
1.200000,225,374,-78.051668545044,0.000369332292,COBYLA
1.200000,226,375,-78.051675466912,0.000362410424,COBYLA
1.200000,227,377,-78.051675466912,0.000362410424,COBYLA
1.200000,228,378,-78.051682951018,0.000354926318,COBYLA
1.200000,229,379,-78.051690082460,0.000347794875,COBYLA
1.200000,230,381,-78.051690082460,0.000347794875,COBYLA
1.200000,231,383,-78.051690082460,0.000347794875,COBYLA
1.200000,232,385,-78.051690082460,0.000347794875,COBYLA
1.200000,233,387,-78.051693820719,0.000344056617,COBYLA
1.200000,234,389,-78.051693820719,0.000344056617,COBYLA
1.200000,235,391,-78.051696994030,0.000340883306,COBYLA
1.200000,236,392,-78.051708107324,0.000329770012,COBYLA
1.200000,237,393,-78.051727790867,0.000310086468,COBYLA
1.200000,238,395,-78.051727790867,0.000310086468,COBYLA
1.200000,239,397,-78.051727790867,0.000310086468,COBYLA
1.200000,240,399,-78.051727790867,0.000310086468,COBYLA
1.200000,241,401,-78.051727790867,0.000310086468,COBYLA
1.200000,242,403,-78.051727790867,0.000310086468,COBYLA
1.200000,243,404,-78.051733842698,0.000304034638,COBYLA
1.200000,244,406,-78.051733842698,0.000304034638,COBYLA
1.200000,245,407,-78.051744511728,0.000293365607,COBYLA
1.200000,246,409,-78.051744511728,0.000293365607,COBYLA
1.200000,247,411,-78.051744511728,0.000293365607,COBYLA
1.200000,248,412,-78.051753748969,0.000284128366,COBYLA
1.200000,249,414,-78.051753748969,0.000284128366,COBYLA
1.200000,250,416,-78.051757566619,0.000280310717,COBYLA
1.200000,251,418,-78.051764051249,0.000273826087,COBYLA
1.200000,252,420,-78.051764051249,0.000273826087,COBYLA
1.200000,253,422,-78.051764051249,0.000273826087,COBYLA
1.200000,254,424,-78.051773276927,0.000264600409,COBYLA
1.200000,255,426,-78.051779307348,0.000258569987,COBYLA
1.200000,256,428,-78.051787129470,0.000250747866,COBYLA
1.200000,257,429,-78.051798430549,0.000239446787,COBYLA
1.200000,258,430,-78.051799052447,0.000238824888,COBYLA
1.200000,259,432,-78.051799052447,0.000238824888,COBYLA
1.200000,260,434,-78.051799052447,0.000238824888,COBYLA
1.200000,261,436,-78.051802749205,0.000235128131,COBYLA
1.200000,262,438,-78.051802749205,0.000235128131,COBYLA
1.200000,263,439,-78.051811261418,0.000226615918,COBYLA
