R,E_sqd
0.7000000000,-107.7125281651
0.8000000000,-108.5724954595
0.9000000000,-108.9254256637
1.0000000000,-109.1283701701
1.1000000000,-109.1897884797
1.2000000000,-109.1631242313
1.3000000000,-109.1185100244
1.4000000000,-109.0796605410
1.5000000000,-109.0296605410
1.6000000000,-108.9854291542
1.7000000000,-108.9420291168
1.8000000000,-108.9064535894
1.9000000000,-108.8844942331
2.0000000000,-108.8830160483
2.1000000000,-108.8667562672
