R,E
8.000000000000000444e-01,-1.075786772406436569e+02
8.500000000000000888e-01,-1.079612102717867828e+02
9.000000000000000222e-01,-1.081017450187135864e+02
9.500000000000000666e-01,-1.082036322285654677e+02
1.000000000000000000e+00,-1.083282045335575532e+02
1.050000000000000044e+00,-1.083876830690365267e+02
1.100000000000000089e+00,-1.084422411225248766e+02
1.150000000000000133e+00,-1.084587798584823446e+02
1.200000000000000178e+00,-1.084569909797404961e+02
1.250000000000000000e+00,-1.084414627658019867e+02
1.300000000000000044e+00,-1.084436558255772525e+02
1.350000000000000089e+00,-1.083988310876764700e+02
1.400000000000000133e+00,-1.083851190742408477e+02
1.450000000000000178e+00,-1.083347893765798489e+02
1.500000000000000000e+00,-1.083384254976280090e+02
1.550000000000000044e+00,-1.082923915833705166e+02
1.600000000000000089e+00,-1.082723369111586464e+02
1.650000000000000133e+00,-1.082547731688825507e+02
1.700000000000000178e+00,-1.082237988332796874e+02
1.750000000000000000e+00,-1.082109051474714221e+02
1.800000000000000044e+00,-1.081342432179076809e+02
1.850000000000000089e+00,-1.081649872664337835e+02
1.900000000000000133e+00,-1.081591888587614676e+02
1.950000000000000178e+00,-1.081230217804843505e+02
2.000000000000000000e+00,-1.081096173297201517e+02
2.049999999999999822e+00,-1.080992156435394804e+02
2.100000000000000089e+00,-1.080658815153326344e+02
