R,E
0.80, -107.7594545957
0.85, -108.0527397852
0.90, -108.2597341991
0.95, -108.4017589576
1.00, -108.4948130529
1.05, -108.5510991644
1.10, -108.5799339129
1.15, -108.5884470920
1.20, -108.5821017974
1.25, -108.5650872593
1.30, -108.5406203718
1.35, -108.5111805025
1.40, -108.4786924194
1.45, -108.4449529871
1.50, -108.4103224378
1.55, -108.3766328284
1.60, -108.3443948062
1.65, -108.3142202076
1.70, -108.2865246007
1.75, -108.2614953685
1.80, -108.2390267178
1.85, -108.2186203271
1.90, -108.1994551928
1.95, -108.1807819864
2.00, -108.1622473684
2.05, -108.1438484600
2.10, -108.1257346565
