R,E_reg,E_no_reg,
0.8000000000,-107.8280766409,-107.8280465004
0.9000000000,-108.3432774711,-108.3432777663
1.0000000000,-108.5959873510,-108.5959868257
1.1000000000,-108.7015608470,-108.7015608470
1.2000000000,-108.7268534501,-108.7268549019
1.3000000000,-108.7107906564,-108.7107906564
1.4000000000,-108.6759523561,-108.6759523561
1.5000000000,-108.6354503212,-108.6354503212
1.6000000000,-108.5969718807,-108.5969718807
1.7000000000,-108.5648605664,-108.5648605664
1.8000000000,-108.5408633513,-108.5408633513
1.9000000000,-108.5245601689,-108.5245601689
2.0000000000,-108.5142619246,-108.5142619246
2.1000000000,-108.5080476674,-108.5080476674
2.2000000000,-108.5043647779,-108.5043647779
2.3000000000,-108.5021666984,-108.5021666984
2.4000000000,-108.5008211446,-108.5008211446
