R,E
0.80, -107.6250578943
0.85, -107.9406543077
0.90, -108.1471521454
0.95, -108.2617685766
1.00, -108.3772053209
1.05, -108.4668564768
1.10, -108.5022398877
1.15, -108.5183982532
1.20, -108.5131865871
1.25, -108.5101989641
1.30, -108.4861900551
1.35, -108.4395107164
1.40, -108.4213731730
1.45, -108.4009777817
1.50, -108.3373704528
1.55, -108.3351373187
1.60, -108.2835170079
1.65, -108.2275152253
1.70, -108.2581860481
1.75, -108.2225651853
1.80, -108.2053177183
1.85, -108.1531052496
1.90, -108.1831269183
1.95, -108.1581080089
2.00, -108.0989023152
2.05, -108.1182682252
2.10, -108.0741830208
