R,E
0.80, -115.1935738997
0.85, -115.0219952227
0.90, -116.1287871935
0.95, -109.5295711155
1.00, -109.6460426569
1.05, -109.2866148257
1.10, -110.3090666280
1.15, -109.7567637728
1.20, -107.5377924218
1.25, -107.6708890148
1.30, -107.6766996667
1.35, -107.7811097813
1.40, -107.7677215142
1.45, -107.8609336389
1.50, -107.8856121258
1.55, -107.6295185733
1.60, -107.7677964697
1.65, -107.8185613367
1.70, -107.7903683882
1.75, -107.7887320580
1.80, -107.8059124091
1.85, -107.8159650668
1.90, -107.7687555439
1.95, -107.7216537601
2.00, -107.7863572688
2.05, -107.7630887285
2.10, -107.7625976723
