R,E
0.7,-107.72201501088402
0.75,-108.19575218098349
0.7999999999999999,-108.53115315150761
0.85,-108.7645070664472
0.8999999999999999,-108.92244561364909
0.95,-108.98183730883471
1.0,-109.03911387976063
1.0499999999999998,-109.0414691183914
1.0999999999999999,-109.04525906657949
1.15,-109.03366738737897
1.2,-109.01136252804567
1.25,-108.9818269316959
1.2999999999999998,-108.94765101271132
1.3499999999999999,-108.91075659087073
1.4,-108.87256101417103
1.4499999999999997,-108.83409803529705
1.5,-108.796108601761
1.5499999999999998,-108.75910939797825
1.5999999999999999,-108.72344669079406
1.65,-108.68934107341386
1.6999999999999997,-108.65692212543934
1.7499999999999998,-108.62625495756822
1.7999999999999998,-108.59735848226397
1.8499999999999999,-108.5702205835617
1.9,-108.54480615750249
1.95,-108.52106364044117
1.9999999999999998,-108.49892806244146
2.05,-108.47832647649092
2.0999999999999996,-108.45917981903183
2.15,-108.44140801215087
2.1999999999999997,-108.42493753534437
2.25,-108.41351035681396
2.3,-108.40906870903515
2.3499999999999996,-108.40476644862943
2.4,-108.40061097711886
2.4499999999999997,-108.39660797199959
2.5,-108.39276098100345
2.55,-108.38907186703855
2.5999999999999996,-108.3855407383894
2.6499999999999995,-108.38216624774114
2.6999999999999997,-108.37894596308857
2.75,-108.37587641184702
