R,E
0.7,-107.84578535068675
0.75,-108.32235196550789
0.8,-108.66062191077634
0.85,-108.89692886244575
0.9,-109.05791823302167
0.95,-109.16338489163343
1.0,-109.22811817290778
1.05,-109.2632096871656
1.1,-109.27710729903457
1.15,-109.2761635255521
1.2,-109.26487861504506
1.25,-109.24683785061393
1.3,-109.22460800827635
1.35,-109.2001258299042
1.40,-109.17448453756032
1.45,-109.14943443807167
1.5,-109.12504391458934
1.55,-109.10204758660979
1.6,-109.08074338209053
1.65,-109.0613926519018
1.7,-109.04404387988474
1.75,-109.02885361441167
1.8,-109.01573798974513
1.85,-109.00462651508312
1.90,-108.99537546745833
1.95,-108.98779906752422
2.0,-108.98168280909978
2.05,-108.97680019700482
2.1,-108.97294348807239
2.15,-108.96991871227043
2.2,-108.9675436696605
2.25,-108.96568431675773
2.3,-108.96422550773448
2.35,-108.96307045120307
2.4,-108.96214615562869
2.5,-108.96081230152058
2.6,-108.95972219733943
2.7,-108.95891885725639
2.8,-108.95848182133095
2.9,-108.95812625287085
3.0,-108.95791209036713
